supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0xf7ff40faa4972d3404ec835f6a8cc11f19f606b4,1609801513,1654126940,0x912fd21d7a69678227fe6d08c64222db41477ba0,self,self,0x7f268357a8c2552623316e2562d90e642bb538e5,145,845,836,67,33,32,36,2.1379310344827585
0xe8a9b606383c49cd5c44a14cc6104f51b9dbc656,1605057842,1654421252,0x1d0e00d02c16343b8a86816aecea2f00b74bc6c8,self,self,0xa3b61c077da9da080d22a4ce24f9fd5f139634ca,137,900,877,95,5,32,49,3.671532846715329
0xd498f99bafd467c5d06556d433ba89e52686f74b,1632823466,1680014195,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,self,self,0x32400084c286cf3e17e7b677ea9583e60a000324,97,579,579,86,14,7,15,3.0
0xfcf1067e39dc0deb241079d290d8d0fc972c0aff,1608238559,1671057035,0x57a8530c7d4b916d0b2a1986ee8d5478ca26cd8f,self,self,0xb03670c20f87f2169a7c4ebe35746007e9575901,189,864,771,87,13,32,68,0.6455026455026455
0xe468bdfb9ffb211a184dd7fbb798f3ad2eb3d672,1637761767,1682635007,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,self,self,0x9d90669665607f08005cae4a7098143f554c59ef,10,522,0,10,2,0,0,51.6
0x18b4318daec8c90a3f3912c8cc561f7aede15d1a,1631708626,1669148003,0x9696f59e4d72e237be84ffd425dcad154bf96976,self,self,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,281,592,592,81,19,43,57,0.2135231316725978
0xd84d7bdc4b79171917c81ddbb22a01139eb4cd84,1600851051,1613527140,0x5e994c2ccf7f248f41b90969bf87e82ae769ae23,self,self,0x8eca806aecc86ce90da803b080ca4e3a9b8097ad,726,949,949,87,13,39,61,0.0454545454545454
0xd9a2917925cd13acc9cb35a5740120730e6d2a4e,1526549044,1598871188,0xd4edb58f4a009425ae08db26103f64a39c59cc34,self,self,0xdac17f958d2ee523a2206206994597c13d831ec7,399,1809,1809,62,38,44,56,0.3032581453634085
0xfcce14009d9e29aedf4b1c99cb1c73deb078054c,1504949196,1677203927,0x6e779a512b35e116a83ed0c0757f8c0fbd942f56,self,self,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,86,2059,2059,86,7,17,33,20.011627906976745
0x3647ebc76ccabb6ee2ca7c8101009bfecd0acbc4,1640703954,1681528631,0x5ea90686001b1da9edea21c1c7ef302f1044466d,self,self,0x5f04d47d698f79d76f85e835930170ff4c4ebdb7,23,488,485,23,8,2,7,20.217391304347824
0xebacd448a23f63a156841d440778be89613be97b,1606878518,1634264877,0xa67c12baff8bfaba7537414711376622b783e21d,self,self,0xabea9132b05a70803a4e85094fd0e1800777fbef,586,879,854,84,16,46,54,0.1331058020477815
0x1708c67f9d3095c92ddcf92e920f11a0ab64ed53,1600943718,1611336055,0x2b5634c42055806a59e9107ed44d43c426e58258,self,self,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,534,948,948,89,11,35,65,0.1741573033707865
0xdb1dd47d3735dc0ab992f0edf0320282a6aa2d31,1641044004,1674124619,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0xf158ecbab7da7e6a0502628ad391a3d29710c576,90,484,484,74,26,2,6,1.6888888888888889
0xecebd57146ddfb8eceec4098f20097ba7a1e7fd2,1624441410,1662654536,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,0x7b3d0789d010b11a0b17e78c8d081097e185ae2a,self,761,676,644,76,24,60,40,0.052562417871222
0xfc7c6d9b0369a15925399e5aee874f937ea4916d,1635062732,1678339679,0x9696f59e4d72e237be84ffd425dcad154bf96976,self,self,0x84162fe2e695fedbf4d3bca1c3458fb616e44735,97,553,470,88,12,4,16,2.8350515463917527
0x1982bd37e91fd7a8c88805e9a7aa009fa804b1f9,1623340532,1630559555,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0x54b06ddeb7ba5f8d7a957822a885e8f8bfd4aa18,666,689,689,77,23,28,72,0.045045045045045
0x1119d75fab68611ae05405bada51250c73920f91,1667802275,1682451599,0x8ef2fa2fd8eedc2782ed8cfc2aae0460f5d9dee8,self,self,0x9d90669665607f08005cae4a7098143f554c59ef,58,174,170,58,21,4,9,2.7413793103448274
0xa768f75efa83d22eed37fe909d1f1a295b85545a,1655621902,1682827655,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0xbe9371326f91345777b04394448c23e2bfeaa826,22,315,226,22,0,6,4,13.909090909090908
0x0a5ea431c5df69b525c785bf96222ae7e784409d,1628564734,1674711347,0xb0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,6,628,0,6,12,0,0,88.0
0xca72c93172ba6eff168e59e7f17c3c7a8fea9b62,1599950705,1601773022,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,self,self,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,1351,960,943,94,6,45,55,0.0754996299037749
0x1d1ec8969bd49833b6512483a75c62fa98621e8b,1663836011,1677225167,0x7223a1c7e16090eb619bb62cd283791448ec584c,self,0xcbf9fd96c81823bf23e3e2f51caba189f29104f3,self,97,220,217,62,38,11,8,1.2371134020618555
0x3e27c4988d7a6498a28a771b6ed2fce5660291ea,1622620932,1669642307,0x9e766ff175e864835fbf847e5a075b0832191f3c,self,self,0xabea9132b05a70803a4e85094fd0e1800777fbef,174,697,538,87,13,45,37,0.5632183908045977
0x011211ec9576923988c2fe5aa3a362528c4e7e64,1633849716,1667485691,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0x857679d69fe50e7b722f94acd2629d80c355163d,289,567,302,91,9,47,53,0.301038062283737
0xcbe52faf3ca0adc9dcf0ebeb956a595ce6439c6a,1630603433,1675594115,0x21a31ee1afc51d94c2efccaa2092ad1028285549,self,self,0xda90c6e584636350b0b40b5ffdb3d8be4058cfb5,94,605,482,82,18,14,11,3.0
0xccbc163e5d3cf05b38ea82d5f68cde13e174426a,1636977266,1658307380,0x28c6c06298d514db089934071355e5743bf21d60,self,self,0x7c838b25092925d0155a8358475bfe6c19921d9e,252,531,345,96,4,28,42,0.5357142857142857
0x0147e150d6bcbb2150959ba4a8b16f7a9d3fee84,1648464862,1682338115,0x4d7f1790644af787933c9ff0e2cff9a9b4299abb,self,self,0x3a40312a1c376aecf855ef784371d1fb1aa2d25d,74,398,482,74,5,10,14,6.121621621621622
0x1bbd33a95889c76931ddcd072c2f74b12cf4af17,1623769687,1656744377,0xe03e0edeed53c91f3716cb52e6b9cca4d3916ce2,self,self,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,147,684,684,83,17,19,27,2.1496598639455784
0xd2602c7bdfc9f413974e944280bbfae275d1b1b6,1656855412,1667227835,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,self,self,0xb99e4e9b8fd99c2c90ad5382dbc6adfdfe3a33f3,429,301,204,83,17,35,65,0.0979020979020979
