supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x639e482f52d9f8655e2fd4b3b2244c5ca6eba81c,1562983493,1623800160,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,self,self,0xabea9132b05a70803a4e85094fd0e1800777fbef,554,1387,784,91,9,59,41,0.2328519855595668
0x8f57174838d1acf10961c25f5bab60905deadb92,1622274462,1676378615,0x28c6c06298d514db089934071355e5743bf21d60,self,self,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,92,701,652,81,19,13,22,5.358695652173913
0xd829e171dd8e86279d89dc9a7f5ad7ffbad5a86a,1622266309,1655036024,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0xc36442b4a4522e871399cd717abdd847ab11fe88,164,701,684,78,22,33,50,1.4024390243902438
0x9f4cb53e9a2e9aae05dce7f315c0437463326208,1624504273,1665056099,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0x76f4eed9fe41262669d0250b2a97db79712ad855,278,675,715,80,20,47,53,0.3201438848920863
0x2e884770f9e11ba6b649039e34f7504ada6ad8bb,1624512299,1679811395,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0x32400084c286cf3e17e7b677ea9583e60a000324,50,675,704,50,22,4,8,13.02
0xa2b1c8798cac94cab5a7b493a473979a724e1a1c,1624513527,1679813015,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0x32400084c286cf3e17e7b677ea9583e60a000324,44,675,704,44,22,4,9,14.840909090909092
0x68c882487920d8c114b9f80c4bbf882f60befc5b,1624504273,1679811527,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0x32400084c286cf3e17e7b677ea9583e60a000324,42,675,704,42,21,3,8,15.547619047619047
0x29d6f812e973dcbbc2e28d3c24c4baf371afd893,1624513533,1679811635,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0x32400084c286cf3e17e7b677ea9583e60a000324,44,675,704,44,21,3,7,14.840909090909092
0x5f0eb11a1232a771fcb91f7f796a5ee4cb217217,1624504273,1679811599,self,0x7d655c57f71464b6f83811c55d84009cd9f5221c,self,0x32400084c286cf3e17e7b677ea9583e60a000324,48,675,704,48,20,3,8,13.625
0xdb199d487ab9774456b280be5f8604e4635f06f7,1654924289,1679811719,0x24a9b27a5a7cc1aa2f73eb7765829cb95bf41c8e,self,self,0x32400084c286cf3e17e7b677ea9583e60a000324,38,323,627,38,22,2,5,15.289473684210526
0x24a9b27a5a7cc1aa2f73eb7765829cb95bf41c8e,1654922678,1679811719,0x6a98ff32b16c9d4df19d5504f1c5c448cd2dfe4c,self,self,0x32400084c286cf3e17e7b677ea9583e60a000324,43,323,305,43,23,2,4,6.441860465116279
0x5b0c051ce00065ec2d7ff813de60fedfe23ba99d,1654925448,1679811755,0xdb199d487ab9774456b280be5f8604e4635f06f7,self,self,0x32400084c286cf3e17e7b677ea9583e60a000324,36,323,704,36,22,2,6,18.22222222222222
0x333d9c8d56cdd4eb0f9a3e557ae23dd2d637e9b5,1674383723,1674888659,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,13,98,98,13,2,2,3,0.3076923076923077
0x08b6f4693498ec31d3a254d1a98cab3234e5dac9,1627416520,1682419379,0xa7efae728d2936e78bda97dc267687568dd593f3,self,self,0x50296fa66ea1486e3255f2f1f4a815a58f2a5fb2,49,642,642,49,14,2,2,12.653061224489797
0x32a83cb4c299350479ff0b0e69ba1c8ff32f9539,1649640407,1680882011,0x28c6c06298d514db089934071355e5743bf21d60,self,self,0x0ea7f6a0e4e4966698033a1ece34a71de380535c,14,384,388,14,5,3,6,25.714285714285715
0x34d4da6a0829607ffab8c0affdf6abe059d89b86,1610730745,1647002671,0xd551234ae421e3bcba99a0da6d736074f22192ff,self,self,0xdac17f958d2ee523a2206206994597c13d831ec7,166,835,835,75,25,42,43,0.8493975903614458
0x0f181f35df44c086e7b6158b9731eb24f866dec1,1656013946,1682576339,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,self,self,0x76862b434927b51240c522c40ad01299e81e8355,73,311,301,73,14,7,13,3.863013698630137
0xc942a745f881b58891a853d8a41172b30b726967,1622270320,1667402807,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,self,self,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,111,701,652,84,16,19,26,3.2612612612612613
